date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:17:15	22208/22208	---M--	200	added ('OK')	image/svg+xml	etag:W/%2256c0-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/flaticon/Flaticon.svg	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/flaticon/Flaticon.svg	(from http://pushkarmaurya.herokuapp.com/vendors/flaticon/flaticon.css)
11:17:16	161/161	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Jun%202021%2005:47:17%20GMT	http://pushkarmaurya.herokuapp.com/img/contact-shap-1.png	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/img/contact-shap-1.png	(from http://pushkarmaurya.herokuapp.com/css/style.css)
11:17:18	161/161	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Jun%202021%2005:47:18%20GMT	http://pushkarmaurya.herokuapp.com/img/contact-shap-2.png	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/img/contact-shap-2.png	(from http://pushkarmaurya.herokuapp.com/css/style.css)
11:17:19	1661/1661	---M--	200	added ('OK')	image/png	etag:W/%2267d-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/img/elements/primary-check.png	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/img/elements/primary-check.png	(from http://pushkarmaurya.herokuapp.com/css/style.css)
11:17:20	152796/152796	---M--	200	added ('OK')	font/ttf	etag:W/%22254dc-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/fonts/fontawesome-webfont.ttf?v=4.5.0	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/fonts/fontawesome-webfont3295.ttf	(from http://pushkarmaurya.herokuapp.com/css/font-awesome.min.css)
11:17:21	1205/1205	---M--	200	added ('OK')	image/png	etag:W/%224b5-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/img/elements/success-check.png	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/img/elements/success-check.png	(from http://pushkarmaurya.herokuapp.com/css/style.css)
11:17:22	1249/1249	---M--	200	added ('OK')	image/png	etag:W/%224e1-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/img/elements/disabled-check.png	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/img/elements/disabled-check.png	(from http://pushkarmaurya.herokuapp.com/css/style.css)
11:17:23	1284/1284	---M--	200	added ('OK')	image/png	etag:W/%22504-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/img/elements/primary-radio.png	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/img/elements/primary-radio.png	(from http://pushkarmaurya.herokuapp.com/css/style.css)
11:17:23	1209/1209	---M--	200	added ('OK')	image/png	etag:W/%224b9-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/img/elements/success-radio.png	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/img/elements/success-radio.png	(from http://pushkarmaurya.herokuapp.com/css/style.css)
11:17:24	1173/1173	---M--	200	added ('OK')	image/png	etag:W/%22495-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/img/elements/disabled-radio.png	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/img/elements/disabled-radio.png	(from http://pushkarmaurya.herokuapp.com/css/style.css)
11:17:25	1015622/1015622	---M--	200	added ('OK')	image/jpeg	etag:W/%22f7f46-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/img/gallery/hackathon.jpg	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/img/gallery/hackathon.jpg	(from http://pushkarmaurya.herokuapp.com/)
11:18:58	2320184/2320184	---M--	200	added ('OK')	image/jpeg	etag:W/%22236738-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/img/banner/banner-2.jpg	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/img/banner/banner-2.jpg	(from http://pushkarmaurya.herokuapp.com/css/style.css)
